deal_name,deal_value,stage,pain_impact_notes,decision_process,budget,timeline,competition,next_step
Northwind Logistics,84000,Discovery,"lead dispatcher spends 8-10 hrs/week chasing exception statuses",,,Q3,,
Bramble Retail Co.,52000,Qualify,"inconsistent inventory counts across 40 stores",Marcus Ojo (Ops Director) + IT security review,~40k,,evaluating one competitor,schedule technical discovery
Alderbrook Health,120000,Technical Discovery,,Ravi Nair + compliance team,,H2 this year,,
Callahan & Vance Law,38000,Demo,"partners want faster conflict-check turnaround",,,,,demo scheduled
Rockford Manufacturing,95000,Pilot,"plant floor reporting delays cost overtime",Leah Osei sponsoring,confirmed 90k,pilot ends in 3 weeks,,
Prairie Grain Cooperative,61000,Negotiation,,Walt Debrecen,45k approved,close by quarter end,,redlines with legal
Fenwick & Holt Insurance,73000,Renewal,,,,renewal in 45 days,,
Havenport Realty Group,29000,QBR,,,,,,next review in 90 days
Marlowe Dental Group,15000,Onboarding,,,,,,training session this week
Cascadia Freight Brokers,44000,Expansion,"team wants broker-level reporting",Miguel Santos,,,,
Solstice Fitness,9000,Discovery,,,,,,
Ferro & Doyle Manufacturing,110000,Discovery,"unplanned downtime costing ~200k/quarter","CFO sign-off required, 3-week security review",,Q4,current vendor underperforming,scoping call booked
